"scenario","year","variable","value","units","name"
"1pctCO2",1745,"hfds",0,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1746,"hfds",0,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1747,"hfds",0,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1748,"hfds",0,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1749,"hfds",0,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1750,"hfds",0,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1751,"hfds",-4.66140295917982e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1752,"hfds",-0.000106508224423826,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1753,"hfds",-0.000122273548235408,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1754,"hfds",-0.000122845909065767,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1755,"hfds",-0.000118884467680696,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1756,"hfds",-0.0001140345471618,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1757,"hfds",-0.000109437699843541,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1758,"hfds",-0.000105379012606236,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1759,"hfds",-0.000101868404806363,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1760,"hfds",-9.883985016701e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1761,"hfds",-9.62164596871103e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1762,"hfds",-9.39294740665562e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1763,"hfds",-9.19220118785693e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1764,"hfds",-9.01482039003275e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1765,"hfds",-8.8571264988298e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1766,"hfds",-8.7161607225845e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1767,"hfds",-8.58952732118503e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1768,"hfds",-8.47527066627231e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1769,"hfds",-8.37178070523776e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1770,"hfds",-8.27772062736979e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1771,"hfds",-8.1919714031041e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1772,"hfds",-8.11358902909175e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1773,"hfds",-8.04177133218663e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1774,"hfds",-7.97583199608843e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1775,"hfds",-7.91518007624716e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1776,"hfds",-7.85930371316614e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
"1pctCO2",1777,"hfds",-7.80775708410825e-05,"ZJ year-1","thermal mld = 60, ocean carbon mld = 60"
