"scenario","year","variable","value","units","beta"
"1pctCO2","X1745","hfds",0,"ZJ year-1","0"
"1pctCO2","X1746","hfds",0,"ZJ year-1","0"
"1pctCO2","X1747","hfds",0,"ZJ year-1","0"
"1pctCO2","X1748","hfds",0,"ZJ year-1","0"
"1pctCO2","X1749","hfds",0,"ZJ year-1","0"
"1pctCO2","X1750","hfds",0,"ZJ year-1","0"
"1pctCO2","X1751","hfds",-4.66140295917982e-05,"ZJ year-1","0"
"1pctCO2","X1752","hfds",-0.000106508224423826,"ZJ year-1","0"
"1pctCO2","X1753","hfds",-0.000122273548235408,"ZJ year-1","0"
"1pctCO2","X1754","hfds",-0.000122845909065767,"ZJ year-1","0"
"1pctCO2","X1755","hfds",-0.000118884467680696,"ZJ year-1","0"
"1pctCO2","X1756","hfds",-0.0001140345471618,"ZJ year-1","0"
"1pctCO2","X1757","hfds",-0.000109437699843541,"ZJ year-1","0"
"1pctCO2","X1758","hfds",-0.000105379012606236,"ZJ year-1","0"
"1pctCO2","X1759","hfds",-0.000101868404806363,"ZJ year-1","0"
"1pctCO2","X1760","hfds",-9.883985016701e-05,"ZJ year-1","0"
"1pctCO2","X1761","hfds",-9.62164596871103e-05,"ZJ year-1","0"
"1pctCO2","X1762","hfds",-9.39294740665562e-05,"ZJ year-1","0"
"1pctCO2","X1763","hfds",-9.19220118785693e-05,"ZJ year-1","0"
"1pctCO2","X1764","hfds",-9.01482039003275e-05,"ZJ year-1","0"
"1pctCO2","X1765","hfds",-8.8571264988298e-05,"ZJ year-1","0"
"1pctCO2","X1766","hfds",-8.7161607225845e-05,"ZJ year-1","0"
"1pctCO2","X1767","hfds",-8.58952732118503e-05,"ZJ year-1","0"
"1pctCO2","X1768","hfds",-8.47527066627231e-05,"ZJ year-1","0"
"1pctCO2","X1769","hfds",-8.37178070523776e-05,"ZJ year-1","0"
"1pctCO2","X1770","hfds",-8.27772062736979e-05,"ZJ year-1","0"
"1pctCO2","X1771","hfds",-8.1919714031041e-05,"ZJ year-1","0"
"1pctCO2","X1772","hfds",-8.11358902909175e-05,"ZJ year-1","0"
"1pctCO2","X1773","hfds",-8.04177133218663e-05,"ZJ year-1","0"
"1pctCO2","X1774","hfds",-7.97583199608843e-05,"ZJ year-1","0"
"1pctCO2","X1775","hfds",-7.91518007624716e-05,"ZJ year-1","0"
"1pctCO2","X1776","hfds",-7.85930371316614e-05,"ZJ year-1","0"
"1pctCO2","X1777","hfds",-7.80775708410825e-05,"ZJ year-1","0"
